Generation,Error
1,0.05443052754334067
2,0.03908295087160333
3,0.02851097787889978
4,0.02851097787889978
5,0.026386224272828614
6,0.021491642252411736
7,0.016487983222620243
8,0.015319669613697256
9,0.013749276218735215
10,0.012534622548211062
11,0.009660795114229036
12,0.009660795114229036
13,0.008776111745811166
14,0.00804800287378638
15,0.007660166047962791
16,0.00662998380689699
17,0.006320051840771376
18,0.0040856113633775705
19,0.0025671587608127665
20,0.002391100121625092
21,0.002391100121625092
22,0.002391100121625092
23,0.0021011235363205577
24,0.0021011235363205577
25,0.0020205118760695823
26,0.0020205118760695823
27,0.0018118519325755718
28,0.001623290159549482
29,0.001623290159549482
30,0.0013438505593474748
31,0.0013438505593474748
32,0.0013438505593474748
33,0.0013438505593474748
34,0.0011343047979447307
35,0.0011135794859021423
36,0.0011135794859021423
37,0.0011135794859021423
38,0.0011135794859021423
39,0.0011135794859021423
40,0.0011135794859021423
41,0.0011135794859021423
42,0.0011135794859021423
43,0.0011135794859021423
44,0.0011135794859021423
45,0.0011135794859021423
46,0.0011135794859021423
47,0.0011135794859021423
48,0.0011135794859021423
49,0.0011135794859021423
50,0.0011135794859021423
